index_in_path,lat,lng,altitude,heading,roll,tilt,distance_from_ground
0,37.427119247522924,-122.28372342437558,200,127.2,0.0,0.0,200
1,37.427118208656694,-122.28372170101912,200,127.2,0.0,0.0,200
2,37.42711703968194,-122.28371976182801,200.43,127.2,0.0,1.5,200
3,37.4271157288029,-122.2837175872345,200.87,127.2,0.0,3.0,200
4,37.42711419322139,-122.28371503988618,201.3,127.2,0.0,4.5,200
5,37.42711419322139,-122.28371503988618,201.74,127.2,0.0,6.0,200
6,37.42711419322139,-122.28371503988618,202.17,127.2,0.0,7.5,200
7,37.42711419322139,-122.28371503988618,202.61,127.2,0.0,9.0,200
8,37.42711419322139,-122.28371503988618,203.04,127.2,0.0,10.5,200
9,37.42711419322139,-122.28371503988618,203.47,127.2,0.0,12.0,200
10,37.42711419322139,-122.28371503988618,203.91,127.2,0.0,13.4,200
11,37.42711419322139,-122.28371503988618,204.34,127.2,0.0,14.9,200
12,37.42711419322139,-122.28371503988618,204.77,127.2,0.0,16.3,200
13,37.42711419322139,-122.28371503988618,205.2,127.2,0.0,17.7,200
14,37.42711419322139,-122.28371503988618,205.63,127.2,0.0,19.1,200
15,37.42711419322139,-122.28371503988618,206.06,127.2,0.0,20.5,200
16,37.42711419322139,-122.28371503988618,206.5,127.2,0.0,21.8,200
17,37.42711419322139,-122.28371503988618,206.92,127.2,0.0,23.2,200
18,37.42711419322139,-122.28371503988618,207.35,127.2,0.0,24.5,200
19,37.42711419322139,-122.28371503988618,207.78,127.2,0.0,25.8,200
20,37.42711419322139,-122.28371503988618,208.21,127.2,0.0,27.1,200
21,37.42711419322139,-122.28371503988618,208.64,127.2,0.0,28.3,200
22,37.42711419322139,-122.28371503988618,209.06,127.2,0.0,29.5,200
23,37.42711419322139,-122.28371503988618,209.49,127.2,0.0,30.7,200
24,37.42711419322139,-122.28371503988618,209.91,127.2,0.0,31.9,200
25,37.42711419322139,-122.28371503988618,210.34,127.2,0.0,33.0,200
26,37.42711419322139,-122.28371503988618,210.76,127.2,0.0,34.2,200
27,37.42711419322139,-122.28371503988618,211.18,127.2,0.0,35.3,200
28,37.42711419322139,-122.28371503988618,211.6,127.2,0.0,36.3,200
29,37.42711337759427,-122.28371368685711,212.02,127.2,0.0,37.3,200
30,37.4271123693106,-122.28371201423363,212.44,127.2,0.0,38.3,200
31,37.4271112600533,-122.28371017410689,212.85,127.2,0.0,39.3,200
32,37.42710995618904,-122.28370801115022,213.27,127.2,0.0,40.2,200
33,37.42710863962722,-122.28370582712982,213.68,127.2,0.0,41.1,200
34,37.427107199401284,-122.28370343796536,214.1,127.2,0.0,42.0,200
35,37.42710575957833,-122.28370104946947,214.51,127.2,0.0,42.8,200
